HomePrice,Ratio
224900,0.5441
267500,0.6863
304000,0.5046
320000,0.2866
335000,0.2803
474000,0.4414
130000,0.6024
159900,0.5641
255000,0.4111
265000,0.439
265000,0.4415
235000,0.3722
224500,0.662
239000,0.6218
231000,0.6686
395000,0.4277
280000,0.4285
225000,0.3312
345000,0.625
369000,0.31
310000,0.4656
162000,0.5636
412500,0.5581
415000,0.5574
167500,0.4347
240000,0.5395
290000,0.444
307000,0.5126
307000,0.5348
297000,0.5053
150000,0.4844
296000,0.4154
395000,0.4139
169000,0.6188
335000,0.5214
300000,0.4721
125000,0.5757
385000,0.3652
162000,0.5609
199000,0.729
82000,0.708
90000,0.421
65000,0.611
75000,0.4551
90000,0.531
72000,0.5516
72000,0.5516
185000,0.6696
338720,0.5297
166000,0.6079
134000,0.4949
105000,0.5423
685000,0.5371
735000,0.5427
675000,0.5469
505000,0.6557
525000,0.5292
229900,0.3704
585000,0.5774
230000,0.6111
515000,0.7655
630000,0.7105
610000,0.7064
147000,0.621
109000,0.5097
152900,0.4906
102000,0.5451
132500,0.4332
465500,0.5525
510016,0.7246
645000,0.6063
125000,0.2648
586500,0.5394
55000,0.5113
33750,0.6284
70000,0.7233
259000,0.5504
235000,0.5321
186000,0.4794
143000,0.7048
129000,0.4808
345000,0.4967
141900,0.4605
183000,0.3928
133000,0.5387
165000,0.4129
193000,0.4017
175000,0.4563
193000,0.4503
270000,0.6337
274000,0.6356
169900,0.4123
332500,0.3407
175000,0.4893
350000,0.5279
163000,0.4242
200000,0.4858
122500,0.446
139000,0.534
146000,0.502
125000,0.5265
143000,0.5126
135000,0.4047
156000,0.4432
159000,0.4558
152885,0.4027
131500,0.4154
146500,0.4587
180000,0.5671
195000,0.5234
164800,0.6194
182000,0.5608
128000,0.5981
157000,0.6501
310000,0.5837
180000,0.4124
125000,0.3574
110000,0.4356
68000,0.5628
114900,0.4029
125000,0.5594
101000,0.2578
265000,0.3607
219000,0.3421
199900,0.4598
485000,0.5978
149900,0.6207
203500,0.6097
500000,0.5671
134500,0.3009
100000,0.4047
150000,0.2804
159000,0.4372
145500,0.4205
165000,0.3708
167000,0.3663
219000,0.4876
242000,0.4806
275000,0.6197
174000,0.5901
310000,0.5871
220512,0.4761
480000,0.2635
172000,0.4461
265000,0.575
265000,0.453
237000,0.6213
270000,0.5215
115000,0.4823
145000,0.6194
91000,0.6111
220000,0.6894
310000,0.4797
350000,0.4433
230000,0.4739
128900,0.5974
155000,0.6528
175000,0.6337
250000,0.5361
200000,0.6001
310000,0.5004
300000,0.3315
220000,0.4544
225500,0.5354
262000,0.6895
365000,0.5074
275000,0.6282
464500,0.6065
160000,0.6241
160000,0.6241
262100,0.6398
380000,0.406
167000,0.4533
172500,0.7693
180000,0.6601
230000,0.6821
430000,0.4607
605000,0.3762
343000,0.5481
220000,0.6288
152500,0.5593
190000,0.5021
205000,0.472
185000,0.5538
340000,0.5612
151700,0.7294
119000,0.5722
225000,0.7056
131960,0.4817
132500,0.4837
325000,0.5632
141900,0.6664
179450,0.7026
150000,0.6304
335000,0.4725
370000,0.5271
107500,0.5844
98500,0.5734
117000,0.5426
296800,0.7394
260000,0.3813
152900,0.6914
170000,0.6461
295000,0.5264
240000,0.4403
330000,0.5502
135000,0.5144
100000,0.5293
395000,0.5443
310000,0.4724
265000,0.6216
379000,0.5909
295000,0.5104
380000,0.5465
400000,0.5567
168000,0.5806
151100,0.6346
143000,0.625
295000,0.4751
250000,0.4006
207000,0.5647
275000,0.3845
148000,0.6391
155000,0.5915
194000,0.5423
145000,0.763
197000,0.516
185000,0.5229
188500,0.5632
163000,0.6662
275000,0.3683
275000,0.3566
244500,0.4487
258500,0.4648
405000,0.5414
247000,0.4132
140000,0.7192
177500,0.6807
230000,0.4176
215000,0.4745
200900,0.5598
157000,0.6248
160000,0.623
266000,0.3861
430000,0.625
136000,0.4746
99000,0.6443
150000,0.4261
260000,0.6428
250000,0.4907
130000,0.7392
110000,0.5179
105060,0.5336
330000,0.5268
195000,0.6654
315000,0.4372
225000,0.5235
225000,0.5225
220000,0.5739
250000,0.4634
140000,0.6432
123500,0.6312
325000,0.5188
125000,0.5926
260000,0.4598
160000,0.4775
161500,0.4674
245000,0.5628
140000,0.5796
210000,0.7412
295000,0.3718
152500,0.5721
230000,0.5695
285000,0.4821
294000,0.4663
159700,0.4779
116000,0.6731
139900,0.5762
135000,0.6991
198000,0.7675
270000,0.5176
149900,0.4787
125000,0.5741
125000,0.5741
285000,0.5129
280000,0.4659
295000,0.5614
250000,0.5973
290000,0.4572
239000,0.5925
171900,0.5582
215000,0.5595
119000,0.7565
45000,0.3939
175000,0.53
278000,0.4931
185000,0.6276
268000,0.4992
225000,0.585
300000,0.6004
162500,0.6459
250000,0.3795
208500,0.6013
145000,0.4513
285000,0.4564
295000,0.4453
275000,0.4727
235000,0.57
235000,0.5787
105000,0.6628
139000,0.5705
175000,0.4843
115000,0.6927
125000,0.7101
275000,0.3846
230000,0.5359
200000,0.5401
239000,0.579
154500,0.7481
295000,0.3305
175000,0.4887
145000,0.547
125000,0.727
217000,0.6464
139000,0.3672
150000,0.3402
135000,0.378
295000,0.3869
210000,0.563
239000,0.5967
140000,0.6858
250000,0.4654
220000,0.5873
415000,0.469
220000,0.5497
215000,0.5884
165000,0.4048
110000,0.7013
245000,0.7105
155000,0.5903
230000,0.5857
209900,0.6068
160000,0.5654
127000,0.696
187000,0.6387
165000,0.6171
218400,0.4738
156500,0.5241
115000,0.7412
265000,0.6078
260000,0.3545
215000,0.502
335000,0.5276
265000,0.4417
171500,0.5858
243500,0.6819
140000,0.6922
184900,0.4466
256000,0.6112
375000,0.5474
200000,0.5538
275000,0.6291
312000,0.501
200000,0.5096
300000,0.5004
246000,0.5787
165000,0.5755
245000,0.608
285000,0.4917
290000,0.5359
260000,0.4054
250000,0.6079
325000,0.4393
264000,0.5532
275000,0.5414
130000,0.7327
282500,0.6245
254500,0.5742
290000,0.5479
325000,0.4772
315000,0.5403
258000,0.4775
198000,0.7682
350000,0.594
310000,0.518
310000,0.518
250000,0.6749
380000,0.508
380000,0.514
275000,0.5505
255000,0.5529
265000,0.5455
380000,0.4798
345000,0.4176
475000,0.4891
164900,0.6417
270000,0.5817
325000,0.5249
379000,0.3647
235000,0.5
171000,0.5298
119000,0.7635
201000,0.4579
175000,0.4815
140000,0.696
215000,0.4154
120000,0.7705
209900,0.4654
190000,0.4641
205000,0.5423
199000,0.5381
227000,0.3528
175000,0.5895
135300,0.6983
255000,0.6322
180000,0.5856
220000,0.5043
190000,0.4932
107500,0.72
150000,0.5555
140000,0.652
220000,0.4377
138000,0.7198
285000,0.6562
267000,0.5146
159900,0.5881
179900,0.4297
172000,0.5689
135000,0.7681
130000,0.6498
225000,0.4563
305000,0.4854
139000,0.6861
182000,0.5904
215000,0.4289
160000,0.4631
94900,0.7637
35000,0.447
175000,0.5329
190000,0.4344
161000,0.5591
168000,0.5734
177500,0.5354
207000,0.4998
144500,0.6704
220000,0.3819
165000,0.4876
290000,0.2862
177000,0.52
240000,0.3663
169000,0.4125
59000,0.3284
84000,0.3227
299500,0.3202
200000,0.7293
200000,0.73
167000,0.617
360000,0.5262
157000,0.625
199900,0.5775
280490,0.5138
290000,0.6396
160000,0.6966
185000,0.6025
186500,0.5116
162900,0.6376
140000,0.4553
97000,0.6572
250000,0.4151
400000,0.4883
385000,0.5043
240000,0.7406
290000,0.7652
405000,0.5238
315000,0.587
300000,0.5291
265000,0.6455
285000,0.5426
273000,0.5417
380000,0.541
330000,0.5406
306000,0.4944
190000,0.7707
400000,0.5829
320000,0.6609
335000,0.4578
245000,0.4375
199000,0.6193
140000,0.5436
186100,0.5547
305000,0.3694
369000,0.4977
360000,0.5085
289900,0.3631
199500,0.6016
248000,0.3882
279900,0.6078
140000,0.6258
219900,0.437
200000,0.4947
247500,0.3559
300000,0.6058
294000,0.4125
318000,0.3811
303000,0.3962
230000,0.4347
157500,0.6627
147500,0.4641
150000,0.4539
210000,0.5385
189500,0.5026
73500,0.4138
292600,0.3634
280000,0.3887
140000,0.5018
255000,0.4638
220000,0.4968
209000,0.4559
305000,0.3442
240000,0.4318
170000,0.6292
202500,0.631
199500,0.5174
263000,0.3893
120000,0.6296
110000,0.6328
225000,0.3955
360000,0.4607
44000,0.3853
150000,0.6382
360000,0.4922
260000,0.5909
225000,0.6641
335000,0.5087
380000,0.5137
75000,0.59
109000,0.5449
121500,0.5803
117400,0.5801
93900,0.4976
81400,0.5599
94100,0.502
123400,0.5789
75000,0.4379
75000,0.4379
121000,0.5438
120400,0.5657
73000,0.6769
400000,0.5065
475000,0.4259
210000,0.714
32000,0.482
125000,0.6724
152000,0.625
169900,0.5687
510000,0.568
110000,0.7054
110000,0.3713
109500,0.5608
132000,0.4175
240000,0.5292
153000,0.5555
260000,0.4915
130000,0.6605
162000,0.5337
164500,0.4895
240000,0.6034
199900,0.6253
135000,0.7166
210000,0.5257
205000,0.4756
213000,0.4448
149900,0.684
160000,0.6083
200000,0.4648
189500,0.505
150000,0.586
175000,0.5596
150000,0.6391
182000,0.5567
260000,0.4251
165000,0.6195
164000,0.4898
310000,0.5
310000,0.557
269900,0.3415
375000,0.3072
160000,0.6405
179900,0.5568
289300,0.5585
265900,0.5412
119000,0.5916
149000,0.4922
129900,0.5759
159000,0.7196
159000,0.6983
235000,0.4676
275000,0.5245
280000,0.5122
291000,0.6036
299900,0.5935
205000,0.5883
170000,0.5734
157000,0.5779
195000,0.4848
179900,0.5921
205000,0.5016
145000,0.7198
160000,0.7138
195000,0.5526
200000,0.4992
183300,0.5488
213000,0.4503
235000,0.4206
202000,0.5317
230000,0.4566
207000,0.5225
180000,0.5939
170000,0.633
215000,0.5242
308000,0.5746
154500,0.5598
200000,0.5604
160000,0.6176
275000,0.3717
119000,0.7491
145000,0.7402
254900,0.7289
260000,0.3984
183000,0.5006
215000,0.486
375259,0.5183
60000,0.6406
97500,0.5128
325000,0.5215
132000,0.4671
145000,0.68
195000,0.7567
290000,0.5592
341000,0.3531
147000,0.7032
155000,0.6439
150000,0.6981
397000,0.4919
265000,0.5604
155000,0.641
175000,0.603
260000,0.4143
180000,0.7159
108000,0.518
240000,0.5786
255000,0.6264
370000,0.6409
195000,0.5435
205000,0.6026
170000,0.5907
200000,0.5779
175000,0.5919
187000,0.587
317000,0.3503
200000,0.6324
137500,0.7332
157000,0.6675
125000,0.6649
169900,0.613
165000,0.6047
312650,0.6005
330000,0.5089
289000,0.593
170000,0.4448
245000,0.7669
229900,0.4224
175000,0.6379
158000,0.6051
168000,0.7167
186000,0.5347
187500,0.5301
131500,0.7288
170000,0.5903
180000,0.5452
214500,0.4713
169000,0.5616
279900,0.3539
185000,0.4967
210000,0.4867
240000,0.6006
138000,0.5897
154000,0.4156
167500,0.6229
133500,0.6437
100000,0.5183
125500,0.5706
119525,0.6562
289000,0.4743
195600,0.5334
125000,0.491
109000,0.5631
180000,0.4583
325000,0.3085
250000,0.7141
150000,0.625
265000,0.5369
108000,0.5172
330000,0.3898
350000,0.4537
278000,0.4203
65000,0.3767
64000,0.3782
43000,0.2858
64000,0.3835
66500,0.373
70000,0.5354
99000,0.3089
69000,0.26
81000,0.4073
106000,0.4413
65000,0.4779
60000,0.4895
59900,0.4944
88000,0.5178
89000,0.3667
91000,0.4928
320000,0.596
150000,0.6811
280000,0.4408
170000,0.5333
325000,0.2933
189900,0.5601
184150,0.5776
140000,0.3454
90000,0.6447
147000,0.3947
380000,0.3783
95000,0.6441
135000,0.2741
125000,0.3829
117500,0.5848
140000,0.5853
128000,0.3027
160000,0.5851
259000,0.3994
263000,0.371
408000,0.506
157750,0.6966
137500,0.6366
192500,0.5177
430000,0.5059
172600,0.5751
169900,0.5843
166000,0.5128
241000,0.625
384000,0.5509
390000,0.5389
404000,0.5331
167000,0.5939
191000,0.4766
295000,0.4658
229500,0.4855
157000,0.4417
250000,0.321
415000,0.5871
374000,0.5771
605000,0.4871
410000,0.5109
395000,0.5229
220000,0.4332
88500,0.6742
100000,0.2614
110000,0.3011
155000,0.4171
300000,0.5086
249000,0.4053
150000,0.6579
285000,0.5167
190000,0.5925
325000,0.5056
390000,0.5159
590000,0.4925
320000,0.4242
135000,0.7274
169000,0.4515
99000,0.5947
99000,0.5947
98000,0.6012
300000,0.3896
96000,0.7597
140000,0.7424
310000,0.4634
225000,0.6218
401000,0.5679
260000,0.4038
84000,0.629
47000,0.5399
67500,0.5304
50000,0.4457
39000,0.381
55000,0.4529
165000,0.6258
415000,0.3639
116000,0.706
169000,0.4498
219900,0.4349
145000,0.5524
150000,0.5241
154500,0.5867
175000,0.4526
157000,0.5573
134000,0.7397
235000,0.447
170000,0.4166
250000,0.353
170000,0.397
350000,0.4843
265000,0.6313
212000,0.6661
136000,0.6674
157500,0.4905
160000,0.6499
119900,0.6298
149000,0.558
255000,0.4467
174000,0.4946
270000,0.4249
230000,0.4847
185000,0.5656
132000,0.6275
336000,0.6397
180000,0.5304
